Instance,CPU,z*
abs1n5.dat,0,5942.81982
abs2n5.dat,0,5045.91009
abs3n5.dat,0,6956.28008
abs4n5.dat,0,5163.42007
abs5n5.dat,0,4581.66007
abs1n10.dat,11,8870.15014
abs2n10.dat,7,8569.73012
abs3n10.dat,4,8509.80957
abs4n10.dat,5,8792.29012
abs5n10.dat,3,9620.07015
abs1n15.dat,22,12118.83008
abs2n15.dat,31,11932.10023
abs3n15.dat,27,13554.15029
abs4n15.dat,19,10618.55018
abs5n15.dat,59,10385.54016
abs1n20.dat,1536,14702.95029
abs2n20.dat,354,14646.9603
abs3n20.dat,137,14532.91028
abs4n20.dat,327,14539.72025
abs5n20.dat,297,15896.71026
abs1n25.dat,578,15581.47028
abs2n25.dat,1732,16823.16032
abs3n25.dat,903,18098.02036
abs4n25.dat,354,16303.69029
abs5n25.dat,1524,19047.70037
abs1n30.dat,4947,23183.99048
abs2n30.dat,4661,20090.29042
abs3n30.dat,3814,23382.73051
abs4n30.dat,2624,17649.53035
abs5n30.dat,4453,18979.93036
